tuple
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'All', 'All', 1, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied', 72, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied - WIND ONLY', 73, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Personal Residential - Mobile Homeowners', 74, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Personal Residential - Mobile Homeowners - WIND ONLY', 75, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Personal Residential - Primary Private Flood', 76, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Personal Residential - Tenants', 77, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Baker', 'Personal Residential - Tenants - WIND ONLY', 78, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'All', 79, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Commercial Residential - (Apartment Buildings) - WIND ONLY', 80, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Commercial Residential - (Condo Associations Only) - WIND ONLY', 81, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Commercial Residential - (Homeowners Association) - WIND ONLY', 82, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Commercial Residential - Allied Lines (Condo Associations Only)', 83, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Commercial Residential - Allied Lines (Excl Condo Associations)', 84, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Commercial Residential - CMP (Condo Associations Only)', 85, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Commercial Residential - CMP (Excl Condo Associations)', 86, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Commercial Residential - Dwelling/Fire (Condo Associations Only)', 87, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Commercial Residential - Dwelling/Fire (Excl Condo Associations)', 88, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Personal Residential - Allied Lines', 89, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Personal Residential - Allied Lines - WIND ONLY DWELLINGS', 90, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Personal Residential - Condominium Unit Owners', 91, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Personal Residential - Condominium Unit Owners - WIND ONLY', 92, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Personal Residential - Dwelling/Fire', 93, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Personal Residential - Dwelling/Fire - Mobile Homeowners', 94, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY', 95, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Personal Residential - Excess Private Flood', 96, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Personal Residential - Farmowners', 97, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied', 98, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied - WIND ONLY', 99, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Personal Residential - Mobile Homeowners', 100, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Personal Residential - Mobile Homeowners - WIND ONLY', 101, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Personal Residential - Primary Private Flood', 102, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Personal Residential - Tenants', 103, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bay', 'Personal Residential - Tenants - WIND ONLY', 104, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'All', 105, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Commercial Residential - (Apartment Buildings) - WIND ONLY', 106, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Commercial Residential - (Condo Associations Only) - WIND ONLY', 107, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Commercial Residential - (Homeowners Association) - WIND ONLY', 108, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Commercial Residential - Allied Lines (Condo Associations Only)', 109, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Commercial Residential - Allied Lines (Excl Condo Associations)', 110, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Commercial Residential - CMP (Condo Associations Only)', 111, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Commercial Residential - CMP (Excl Condo Associations)', 112, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Commercial Residential - Dwelling/Fire (Condo Associations Only)', 113, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Commercial Residential - Dwelling/Fire (Excl Condo Associations)', 114, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Personal Residential - Allied Lines', 115, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Personal Residential - Allied Lines - WIND ONLY DWELLINGS', 116, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Personal Residential - Condominium Unit Owners', 117, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Personal Residential - Condominium Unit Owners - WIND ONLY', 118, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Personal Residential - Dwelling/Fire', 119, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Personal Residential - Dwelling/Fire - Mobile Homeowners', 120, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY', 121, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Personal Residential - Excess Private Flood', 122, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Personal Residential - Farmowners', 123, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied', 124, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied - WIND ONLY', 125, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Personal Residential - Mobile Homeowners', 126, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Personal Residential - Mobile Homeowners - WIND ONLY', 127, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Personal Residential - Primary Private Flood', 128, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Personal Residential - Tenants', 129, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Bradford', 'Personal Residential - Tenants - WIND ONLY', 130, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'All', 131, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Commercial Residential - (Apartment Buildings) - WIND ONLY', 132, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Commercial Residential - (Condo Associations Only) - WIND ONLY', 133, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Commercial Residential - (Homeowners Association) - WIND ONLY', 134, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Commercial Residential - Allied Lines (Condo Associations Only)', 135, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Commercial Residential - Allied Lines (Excl Condo Associations)', 136, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Commercial Residential - CMP (Condo Associations Only)', 137, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Commercial Residential - CMP (Excl Condo Associations)', 138, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Commercial Residential - Dwelling/Fire (Condo Associations Only)', 139, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Commercial Residential - Dwelling/Fire (Excl Condo Associations)', 140, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Personal Residential - Allied Lines', 141, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Personal Residential - Allied Lines - WIND ONLY DWELLINGS', 142, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Personal Residential - Condominium Unit Owners', 143, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Personal Residential - Condominium Unit Owners - WIND ONLY', 144, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Personal Residential - Dwelling/Fire', 145, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Personal Residential - Dwelling/Fire - Mobile Homeowners', 146, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY', 147, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Personal Residential - Excess Private Flood', 148, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Personal Residential - Farmowners', 149, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied', 150, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied - WIND ONLY', 151, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Personal Residential - Mobile Homeowners', 152, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Personal Residential - Mobile Homeowners - WIND ONLY', 153, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Personal Residential - Primary Private Flood', 154, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Personal Residential - Tenants', 155, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Brevard', 'Personal Residential - Tenants - WIND ONLY', 156, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'All', 157, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Commercial Residential - (Apartment Buildings) - WIND ONLY', 158, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Commercial Residential - (Condo Associations Only) - WIND ONLY', 159, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Commercial Residential - (Homeowners Association) - WIND ONLY', 160, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Commercial Residential - Allied Lines (Condo Associations Only)', 161, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Commercial Residential - Allied Lines (Excl Condo Associations)', 162, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Commercial Residential - CMP (Condo Associations Only)', 163, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Commercial Residential - CMP (Excl Condo Associations)', 164, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Commercial Residential - Dwelling/Fire (Condo Associations Only)', 165, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Commercial Residential - Dwelling/Fire (Excl Condo Associations)', 166, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Personal Residential - Allied Lines', 167, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Personal Residential - Allied Lines - WIND ONLY DWELLINGS', 168, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Personal Residential - Condominium Unit Owners', 169, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Personal Residential - Condominium Unit Owners - WIND ONLY', 170, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Personal Residential - Dwelling/Fire', 171, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Personal Residential - Dwelling/Fire - Mobile Homeowners', 172, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY', 173, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Personal Residential - Excess Private Flood', 174, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Personal Residential - Farmowners', 175, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied', 176, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Personal Residential - Homeowners (Excl Tenant and Condo) - Owner Occupied - WIND ONLY', 177, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Personal Residential - Mobile Homeowners', 178, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Personal Residential - Mobile Homeowners - WIND ONLY', 179, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Personal Residential - Primary Private Flood', 180, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Personal Residential - Tenants', 181, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Broward', 'Personal Residential - Tenants - WIND ONLY', 182, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Calhoun', 'All', 183, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Calhoun', 'Commercial Residential - (Apartment Buildings) - WIND ONLY', 184, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Calhoun', 'Commercial Residential - (Condo Associations Only) - WIND ONLY', 185, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Calhoun', 'Commercial Residential - (Homeowners Association) - WIND ONLY', 186, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Calhoun', 'Commercial Residential - Allied Lines (Condo Associations Only)', 187, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Calhoun', 'Commercial Residential - Allied Lines (Excl Condo Associations)', 188, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Calhoun', 'Commercial Residential - CMP (Condo Associations Only)', 189, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Calhoun', 'Commercial Residential - CMP (Excl Condo Associations)', 190, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Calhoun', 'Commercial Residential - Dwelling/Fire (Condo Associations Only)', 191, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Calhoun', 'Commercial Residential - Dwelling/Fire (Excl Condo Associations)', 192, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Calhoun', 'Personal Residential - Allied Lines', 193, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Calhoun', 'Personal Residential - Allied Lines - WIND ONLY DWELLINGS', 194, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Calhoun', 'Personal Residential - Condominium Unit Owners', 195, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Calhoun', 'Personal Residential - Condominium Unit Owners - WIND ONLY', 196, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Calhoun', 'Personal Residential - Dwelling/Fire', 197, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Calhoun', 'Personal Residential - Dwelling/Fire - Mobile Homeowners', 198, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Calhoun', 'Personal Residential - Dwelling/Fire - Mobile Homeowners - WIND ONLY', 199, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Calhoun', 'Personal Residential - Excess Private Flood', 200, 10)"
"('2024', 'Quarter 1 (01/01/2024-03/31/2024)', 'Calhoun', 'Personal Residential - Farmowners', 201, 10)"
